protein_id,gene,temporal_class,representation,configuration,UMAP1,UMAP2
YP_009137094.1,UL20,Late,ProtBERT,sensitivity_n5,9.840567,3.351354
YP_009137094.1,UL20,Late,ProtBERT,sensitivity_n20,2.446389,-7.77951
YP_009137095.1,UL21,Late,ProtBERT,sensitivity_n5,10.661057,1.695014
YP_009137095.1,UL21,Late,ProtBERT,sensitivity_n20,3.108219,-8.280473
YP_009137096.1,UL22,Late,ProtBERT,sensitivity_n5,10.742661,1.49412
YP_009137096.1,UL22,Late,ProtBERT,sensitivity_n20,3.120493,-8.717193
YP_009137097.1,UL23,Early,ProtBERT,sensitivity_n5,4.231325,-1.07397
YP_009137097.1,UL23,Early,ProtBERT,sensitivity_n20,2.79293,-3.890627
YP_009137098.1,UL24,Late,ProtBERT,sensitivity_n5,6.806781,1.042243
YP_009137098.1,UL24,Late,ProtBERT,sensitivity_n20,3.451261,-5.268142
YP_009137099.1,UL25,Late,ProtBERT,sensitivity_n5,10.572853,1.898406
YP_009137099.1,UL25,Late,ProtBERT,sensitivity_n20,3.035165,-7.959692
YP_009137100.1,UL26,Late,ProtBERT,sensitivity_n5,12.495546,0.361071
YP_009137100.1,UL26,Late,ProtBERT,sensitivity_n20,4.788105,-8.046041
YP_009137101.1,UL26.5,Late,ProtBERT,sensitivity_n5,12.637184,0.197052
YP_009137101.1,UL26.5,Late,ProtBERT,sensitivity_n20,4.981762,-8.22537
YP_009137102.1,UL27,Late,ProtBERT,sensitivity_n5,9.628837,2.399718
YP_009137102.1,UL27,Late,ProtBERT,sensitivity_n20,2.677657,-7.480016
YP_009137103.1,UL28,Late,ProtBERT,sensitivity_n5,11.023324,1.17977
YP_009137103.1,UL28,Late,ProtBERT,sensitivity_n20,3.587426,-8.403405
YP_009137104.1,UL29,Early,ProtBERT,sensitivity_n5,9.998927,2.365566
YP_009137104.1,UL29,Early,ProtBERT,sensitivity_n20,2.716641,-7.705053
YP_009137105.1,UL30,Early,ProtBERT,sensitivity_n5,5.518552,0.056737
YP_009137105.1,UL30,Early,ProtBERT,sensitivity_n20,2.738147,-4.569427
YP_009137106.1,UL31,Late,ProtBERT,sensitivity_n5,10.910036,2.784316
YP_009137106.1,UL31,Late,ProtBERT,sensitivity_n20,2.121071,-8.597582
YP_009137107.1,UL32,Late,ProtBERT,sensitivity_n5,11.354953,1.564835
YP_009137107.1,UL32,Late,ProtBERT,sensitivity_n20,3.629593,-8.601805
YP_009137108.1,UL33,Late,ProtBERT,sensitivity_n5,11.924504,4.247828
YP_009137108.1,UL33,Late,ProtBERT,sensitivity_n20,2.445251,-9.831772
YP_009137109.1,UL34,Late,ProtBERT,sensitivity_n5,11.110453,3.363201
YP_009137109.1,UL34,Late,ProtBERT,sensitivity_n20,2.675781,-9.358292
YP_009137110.1,UL35,Late,ProtBERT,sensitivity_n5,11.66979,3.619723
YP_009137110.1,UL35,Late,ProtBERT,sensitivity_n20,2.084354,-9.595135
YP_009137111.1,UL36,Late,ProtBERT,sensitivity_n5,12.121614,0.465532
YP_009137111.1,UL36,Late,ProtBERT,sensitivity_n20,4.526132,-8.577975
YP_009137112.1,UL37,Late,ProtBERT,sensitivity_n5,10.526101,1.46653
YP_009137112.1,UL37,Late,ProtBERT,sensitivity_n20,3.233622,-8.571124
YP_009137113.1,UL38,Late,ProtBERT,sensitivity_n5,11.554839,3.172276
YP_009137113.1,UL38,Late,ProtBERT,sensitivity_n20,2.840712,-9.663136
YP_009137114.1,UL39,Early,ProtBERT,sensitivity_n5,5.971496,0.449001
YP_009137114.1,UL39,Early,ProtBERT,sensitivity_n20,2.722385,-5.001551
YP_009137115.1,UL40,Early,ProtBERT,sensitivity_n5,5.859203,0.353501
YP_009137115.1,UL40,Early,ProtBERT,sensitivity_n20,2.579023,-4.78897
YP_009137116.1,UL41,Late,ProtBERT,sensitivity_n5,7.301404,1.09144
YP_009137116.1,UL41,Late,ProtBERT,sensitivity_n20,3.275846,-5.664736
YP_009137117.1,UL42,Early,ProtBERT,sensitivity_n5,5.236347,-0.170872
YP_009137117.1,UL42,Early,ProtBERT,sensitivity_n20,2.625336,-4.430772
YP_009137118.1,UL43,Late,ProtBERT,sensitivity_n5,10.034999,4.209065
YP_009137118.1,UL43,Late,ProtBERT,sensitivity_n20,3.880976,-10.107677
YP_009137119.1,UL44,Late,ProtBERT,sensitivity_n5,4.485627,-0.820446
YP_009137119.1,UL44,Late,ProtBERT,sensitivity_n20,2.628344,-4.002526
YP_009137120.1,UL45,Late,ProtBERT,sensitivity_n5,10.738993,3.753777
YP_009137120.1,UL45,Late,ProtBERT,sensitivity_n20,2.838269,-10.130576
YP_009137121.1,UL46,Late,ProtBERT,sensitivity_n5,11.979325,1.622173
YP_009137121.1,UL46,Late,ProtBERT,sensitivity_n20,3.750715,-8.04665
YP_009137122.1,UL47,Late,ProtBERT,sensitivity_n5,11.049462,0.61994
YP_009137122.1,UL47,Late,ProtBERT,sensitivity_n20,3.975079,-9.297031
YP_009137123.1,UL48,Late,ProtBERT,sensitivity_n5,11.700544,1.900733
YP_009137123.1,UL48,Late,ProtBERT,sensitivity_n20,3.508177,-7.66115
YP_009137124.1,UL49,Late,ProtBERT,sensitivity_n5,12.710291,0.833169
YP_009137124.1,UL49,Late,ProtBERT,sensitivity_n20,4.555139,-7.968146
YP_009137125.1,UL49A,Late,ProtBERT,sensitivity_n5,11.906444,0.623739
YP_009137125.1,UL49A,Late,ProtBERT,sensitivity_n20,4.518389,-9.081704
YP_009137126.1,UL50,Early,ProtBERT,sensitivity_n5,7.704832,1.107879
YP_009137126.1,UL50,Early,ProtBERT,sensitivity_n20,3.417259,-6.193517
YP_009137127.1,UL51,Late,ProtBERT,sensitivity_n5,12.479349,4.003698
YP_009137127.1,UL51,Late,ProtBERT,sensitivity_n20,3.770732,-9.575655
YP_009137128.1,UL52,Early,ProtBERT,sensitivity_n5,11.245214,2.010867
YP_009137128.1,UL52,Early,ProtBERT,sensitivity_n20,2.770814,-8.404681
YP_009137129.1,UL53,Late,ProtBERT,sensitivity_n5,9.643502,3.021869
YP_009137129.1,UL53,Late,ProtBERT,sensitivity_n20,2.370593,-7.819274
YP_009137130.1,UL54,Immediate-Early,ProtBERT,sensitivity_n5,12.551408,1.41198
YP_009137130.1,UL54,Immediate-Early,ProtBERT,sensitivity_n20,4.199673,-8.175494
YP_009137131.1,UL55,Late,ProtBERT,sensitivity_n5,11.909466,2.421588
YP_009137131.1,UL55,Late,ProtBERT,sensitivity_n20,1.638796,-8.4167
YP_009137132.1,UL56,Late,ProtBERT,sensitivity_n5,12.628708,0.360177
YP_009137132.1,UL56,Late,ProtBERT,sensitivity_n20,4.715717,-8.241432
YP_009137135.1,RS1,Immediate-Early,ProtBERT,sensitivity_n5,11.216063,0.22277
YP_009137135.1,RS1,Immediate-Early,ProtBERT,sensitivity_n20,4.288169,-9.00932
YP_009137136.1,US1,Immediate-Early,ProtBERT,sensitivity_n5,12.830561,1.158511
YP_009137136.1,US1,Immediate-Early,ProtBERT,sensitivity_n20,4.175138,-7.650784
YP_009137137.1,US2,Late,ProtBERT,sensitivity_n5,11.744647,3.210581
YP_009137137.1,US2,Late,ProtBERT,sensitivity_n20,2.107586,-9.435949
YP_009137138.1,US3,Early,ProtBERT,sensitivity_n5,7.657345,1.121057
YP_009137138.1,US3,Early,ProtBERT,sensitivity_n20,3.255168,-6.393268
YP_009137139.1,US4,Late,ProtBERT,sensitivity_n5,4.21304,-1.09245
YP_009137139.1,US4,Late,ProtBERT,sensitivity_n20,2.969385,-3.98746
YP_009137140.1,US5,Late,ProtBERT,sensitivity_n5,10.135229,4.25863
YP_009137140.1,US5,Late,ProtBERT,sensitivity_n20,3.821473,-10.115571
YP_009137141.1,US6,Late,ProtBERT,sensitivity_n5,7.049338,1.285239
YP_009137141.1,US6,Late,ProtBERT,sensitivity_n20,3.48054,-4.899414
YP_009137142.1,US7,Late,ProtBERT,sensitivity_n5,4.292602,-1.012687
YP_009137142.1,US7,Late,ProtBERT,sensitivity_n20,2.578191,-3.833249
YP_009137143.1,US8,Late,ProtBERT,sensitivity_n5,4.569692,-0.739368
YP_009137143.1,US8,Late,ProtBERT,sensitivity_n20,2.45616,-3.922194
YP_009137144.1,US8A,Late,ProtBERT,sensitivity_n5,12.382881,2.756652
YP_009137144.1,US8A,Late,ProtBERT,sensitivity_n20,1.805781,-9.692077
YP_009137145.1,US9,Late,ProtBERT,sensitivity_n5,10.495009,3.931775
YP_009137145.1,US9,Late,ProtBERT,sensitivity_n20,3.516108,-10.427174
YP_009137146.1,US10,Late,ProtBERT,sensitivity_n5,12.230796,1.16206
YP_009137146.1,US10,Late,ProtBERT,sensitivity_n20,4.218646,-7.698596
YP_009137147.1,US11,Late,ProtBERT,sensitivity_n5,12.149381,0.956546
YP_009137147.1,US11,Late,ProtBERT,sensitivity_n20,4.790008,-7.79677
YP_009137148.1,US12,Immediate-Early,ProtBERT,sensitivity_n5,11.750388,3.97646
YP_009137148.1,US12,Immediate-Early,ProtBERT,sensitivity_n20,2.180896,-9.970524
YP_009137073.1,RL1,Late,Combined,primary_n10,1.10683,3.481524
YP_009137074.1,RL2,Immediate-Early,Combined,primary_n10,0.980662,3.672303
YP_009137075.1,UL1,Late,Combined,primary_n10,3.531033,5.067128
YP_009137076.1,UL2,Early,Combined,primary_n10,0.009192,1.203176
YP_009137077.1,UL3,Late,Combined,primary_n10,1.807496,5.093564
YP_009137078.1,UL4,Late,Combined,primary_n10,3.292304,4.92868
YP_009137079.1,UL5,Early,Combined,primary_n10,1.650755,1.556631
YP_009137080.1,UL6,Late,Combined,primary_n10,1.57774,2.084964
YP_009137081.1,UL7,Late,Combined,primary_n10,2.704691,3.095514
YP_009137082.1,UL8,Early,Combined,primary_n10,2.202787,2.907492
YP_009137083.1,UL9,Early,Combined,primary_n10,-0.215825,0.181796
YP_009137084.1,UL10,Late,Combined,primary_n10,3.812791,3.477746
YP_009137085.1,UL11,Late,Combined,primary_n10,1.494932,5.166392
YP_009137086.1,UL12,Early,Combined,primary_n10,-1.103536,-0.187311
YP_009137087.1,UL13,Early,Combined,primary_n10,0.397527,1.211642
YP_009137088.1,UL14,Late,Combined,primary_n10,2.551917,4.441438
YP_009137089.1,UL15,Late,Combined,primary_n10,-0.149353,0.247595
YP_009137090.1,UL16,Late,Combined,primary_n10,2.013477,5.410833
YP_009137091.1,UL17,Late,Combined,primary_n10,2.134665,3.680024
YP_009137092.1,UL18,Late,Combined,primary_n10,2.670877,2.601022
YP_009137093.1,UL19,Late,Combined,primary_n10,2.436769,1.96674
YP_009137094.1,UL20,Late,Combined,primary_n10,3.496942,2.985382
YP_009137095.1,UL21,Late,Combined,primary_n10,2.286813,2.456026
YP_009137096.1,UL22,Late,Combined,primary_n10,2.569565,2.763339
YP_009137097.1,UL23,Early,Combined,primary_n10,-1.000738,-0.405221
YP_009137098.1,UL24,Late,Combined,primary_n10,-0.463697,0.487004
YP_009137099.1,UL25,Late,Combined,primary_n10,2.10442,2.149402
YP_009137100.1,UL26,Late,Combined,primary_n10,0.761501,4.106541
YP_009137101.1,UL26.5,Late,Combined,primary_n10,0.720525,3.962926
YP_009137102.1,UL27,Late,Combined,primary_n10,2.384203,1.707766
YP_009137103.1,UL28,Late,Combined,primary_n10,1.729671,2.512336
YP_009137104.1,UL29,Early,Combined,primary_n10,2.423493,1.728297
YP_009137105.1,UL30,Early,Combined,primary_n10,-0.432644,-0.064576
YP_009137106.1,UL31,Late,Combined,primary_n10,2.958667,3.687824
YP_009137107.1,UL32,Late,Combined,primary_n10,1.579527,2.62295
YP_009137108.1,UL33,Late,Combined,primary_n10,2.93423,4.732031
YP_009137109.1,UL34,Late,Combined,primary_n10,3.279009,4.435588
YP_009137110.1,UL35,Late,Combined,primary_n10,2.887819,5.276444
YP_009137111.1,UL36,Late,Combined,primary_n10,1.643938,3.830236
YP_009137112.1,UL37,Late,Combined,primary_n10,2.376836,3.344443
YP_009137113.1,UL38,Late,Combined,primary_n10,3.216194,4.816841
YP_009137114.1,UL39,Early,Combined,primary_n10,0.130487,0.426885
YP_009137115.1,UL40,Early,Combined,primary_n10,0.050764,0.458638
YP_009137116.1,UL41,Late,Combined,primary_n10,-0.299983,0.698844
YP_009137117.1,UL42,Early,Combined,primary_n10,-0.954098,0.05187
YP_009137118.1,UL43,Late,Combined,primary_n10,3.8392,3.811791
YP_009137119.1,UL44,Late,Combined,primary_n10,-1.535808,-0.373125
YP_009137120.1,UL45,Late,Combined,primary_n10,3.69575,4.700793
YP_009137121.1,UL46,Late,Combined,primary_n10,0.842463,3.148973
YP_009137122.1,UL47,Late,Combined,primary_n10,2.021566,3.29118
YP_009137123.1,UL48,Late,Combined,primary_n10,0.99242,2.79434
YP_009137124.1,UL49,Late,Combined,primary_n10,0.216837,3.658091
YP_009137125.1,UL49A,Late,Combined,primary_n10,1.421531,2.53614
YP_009137126.1,UL50,Early,Combined,primary_n10,1.352651,1.463816
YP_009137127.1,UL51,Late,Combined,primary_n10,2.375638,4.195006
YP_009137128.1,UL52,Early,Combined,primary_n10,1.998364,2.344977
YP_009137129.1,UL53,Late,Combined,primary_n10,3.57646,2.926075
YP_009137130.1,UL54,Immediate-Early,Combined,primary_n10,0.600948,3.563736
YP_009137131.1,UL55,Late,Combined,primary_n10,2.028555,4.839538
YP_009137132.1,UL56,Late,Combined,primary_n10,0.457177,3.908912
YP_009137135.1,RS1,Immediate-Early,Combined,primary_n10,1.580459,3.239956
YP_009137136.1,US1,Immediate-Early,Combined,primary_n10,0.295422,3.497326
YP_009137137.1,US2,Late,Combined,primary_n10,2.954057,5.426118
YP_009137138.1,US3,Early,Combined,primary_n10,0.264866,1.477985
YP_009137139.1,US4,Late,Combined,primary_n10,-1.711301,-0.511635
YP_009137140.1,US5,Late,Combined,primary_n10,3.939651,4.06604
YP_009137141.1,US6,Late,Combined,primary_n10,-1.4457,-0.520624
YP_009137142.1,US7,Late,Combined,primary_n10,-1.286985,-0.70401
YP_009137143.1,US8,Late,Combined,primary_n10,-1.515292,-0.606736
YP_009137144.1,US8A,Late,Combined,primary_n10,2.345852,5.398711
YP_009137145.1,US9,Late,Combined,primary_n10,3.863992,4.941349
YP_009137146.1,US10,Late,Combined,primary_n10,1.155836,4.130413
YP_009137147.1,US11,Late,Combined,primary_n10,1.390833,4.322742
YP_009137148.1,US12,Immediate-Early,Combined,primary_n10,2.857282,5.034194
YP_009137073.1,RL1,Late,Combined,sensitivity_n5,3.510143,8.994623
YP_009137073.1,RL1,Late,Combined,sensitivity_n20,2.54854,17.746941
YP_009137074.1,RL2,Immediate-Early,Combined,sensitivity_n5,3.399681,8.809978
YP_009137074.1,RL2,Immediate-Early,Combined,sensitivity_n20,2.639399,17.847702
YP_009137075.1,UL1,Late,Combined,sensitivity_n5,2.182812,10.892893
YP_009137075.1,UL1,Late,Combined,sensitivity_n20,4.365521,16.470991
YP_009137076.1,UL2,Early,Combined,sensitivity_n5,3.646777,12.786079
YP_009137076.1,UL2,Early,Combined,sensitivity_n20,1.230004,15.202448
YP_009137077.1,UL3,Late,Combined,sensitivity_n5,5.701486,9.270905
YP_009137077.1,UL3,Late,Combined,sensitivity_n20,3.771953,16.845835
YP_009137078.1,UL4,Late,Combined,sensitivity_n5,2.49144,10.962131
YP_009137078.1,UL4,Late,Combined,sensitivity_n20,4.612466,16.043356
YP_009137079.1,UL5,Early,Combined,sensitivity_n5,4.164754,11.958488
YP_009137079.1,UL5,Early,Combined,sensitivity_n20,1.974968,15.489647
YP_009137080.1,UL6,Late,Combined,sensitivity_n5,4.160872,11.324469
YP_009137080.1,UL6,Late,Combined,sensitivity_n20,3.183038,16.638855
YP_009137081.1,UL7,Late,Combined,sensitivity_n5,5.690943,10.098881
YP_009137081.1,UL7,Late,Combined,sensitivity_n20,2.760156,16.412828
YP_009137082.1,UL8,Early,Combined,sensitivity_n5,5.116506,9.932671
YP_009137082.1,UL8,Early,Combined,sensitivity_n20,2.486257,16.592463
YP_009137083.1,UL9,Early,Combined,sensitivity_n5,3.944481,13.973974
YP_009137083.1,UL9,Early,Combined,sensitivity_n20,0.478275,15.012109
YP_009137084.1,UL10,Late,Combined,sensitivity_n5,6.010606,12.271243
YP_009137084.1,UL10,Late,Combined,sensitivity_n20,3.628573,15.107069
YP_009137085.1,UL11,Late,Combined,sensitivity_n5,5.257427,8.884995
YP_009137085.1,UL11,Late,Combined,sensitivity_n20,4.034335,17.121792
YP_009137086.1,UL12,Early,Combined,sensitivity_n5,2.912977,14.019144
YP_009137086.1,UL12,Early,Combined,sensitivity_n20,0.217159,14.311208
YP_009137087.1,UL13,Early,Combined,sensitivity_n5,3.815192,12.605124
YP_009137087.1,UL13,Early,Combined,sensitivity_n20,1.462079,15.468258
YP_009137088.1,UL14,Late,Combined,sensitivity_n5,2.817868,10.13621
YP_009137088.1,UL14,Late,Combined,sensitivity_n20,4.197681,16.283855
YP_009137089.1,UL15,Late,Combined,sensitivity_n5,3.79722,14.096026
YP_009137089.1,UL15,Late,Combined,sensitivity_n20,0.362377,15.032892
YP_009137090.1,UL16,Late,Combined,sensitivity_n5,5.983978,9.19016
YP_009137090.1,UL16,Late,Combined,sensitivity_n20,4.062815,16.951435
YP_009137091.1,UL17,Late,Combined,sensitivity_n5,3.689233,9.910527
YP_009137091.1,UL17,Late,Combined,sensitivity_n20,3.22079,16.378231
YP_009137092.1,UL18,Late,Combined,sensitivity_n5,4.354618,10.479601
YP_009137092.1,UL18,Late,Combined,sensitivity_n20,2.800426,15.930535
YP_009137093.1,UL19,Late,Combined,sensitivity_n5,5.208972,10.841415
YP_009137093.1,UL19,Late,Combined,sensitivity_n20,2.237018,15.934654
YP_009137094.1,UL20,Late,Combined,sensitivity_n5,5.725136,11.931602
YP_009137094.1,UL20,Late,Combined,sensitivity_n20,2.988787,15.305726
YP_009137095.1,UL21,Late,Combined,sensitivity_n5,4.49058,10.447545
YP_009137095.1,UL21,Late,Combined,sensitivity_n20,2.491168,16.054592
YP_009137096.1,UL22,Late,Combined,sensitivity_n5,4.860596,10.069104
YP_009137096.1,UL22,Late,Combined,sensitivity_n20,2.508879,16.337143
YP_009137097.1,UL23,Early,Combined,sensitivity_n5,2.953362,14.124559
YP_009137097.1,UL23,Early,Combined,sensitivity_n20,0.048763,14.577093
YP_009137098.1,UL24,Late,Combined,sensitivity_n5,3.630922,13.694465
YP_009137098.1,UL24,Late,Combined,sensitivity_n20,0.806034,14.63061
YP_009137099.1,UL25,Late,Combined,sensitivity_n5,4.935185,10.727171
YP_009137099.1,UL25,Late,Combined,sensitivity_n20,2.127343,16.322662
YP_009137100.1,UL26,Late,Combined,sensitivity_n5,4.073394,8.119564
YP_009137100.1,UL26,Late,Combined,sensitivity_n20,2.765965,18.071302
YP_009137101.1,UL26.5,Late,Combined,sensitivity_n5,4.217984,8.113002
YP_009137101.1,UL26.5,Late,Combined,sensitivity_n20,2.892023,17.933235
YP_009137102.1,UL27,Late,Combined,sensitivity_n5,5.265312,10.993982
YP_009137102.1,UL27,Late,Combined,sensitivity_n20,1.687727,16.164026
YP_009137103.1,UL28,Late,Combined,sensitivity_n5,4.366919,10.143737
YP_009137103.1,UL28,Late,Combined,sensitivity_n20,2.26438,16.89443
YP_009137104.1,UL29,Early,Combined,sensitivity_n5,5.449275,11.190291
YP_009137104.1,UL29,Early,Combined,sensitivity_n20,1.920295,16.058384
YP_009137105.1,UL30,Early,Combined,sensitivity_n5,3.569836,14.193334
YP_009137105.1,UL30,Early,Combined,sensitivity_n20,0.187576,14.785148
YP_009137106.1,UL31,Late,Combined,sensitivity_n5,3.754629,11.215106
YP_009137106.1,UL31,Late,Combined,sensitivity_n20,3.346746,15.888605
YP_009137107.1,UL32,Late,Combined,sensitivity_n5,4.698333,10.364327
YP_009137107.1,UL32,Late,Combined,sensitivity_n20,1.975908,16.837973
YP_009137108.1,UL33,Late,Combined,sensitivity_n5,2.661955,10.446472
YP_009137108.1,UL33,Late,Combined,sensitivity_n20,4.89083,16.381527
YP_009137109.1,UL34,Late,Combined,sensitivity_n5,3.047908,11.404186
YP_009137109.1,UL34,Late,Combined,sensitivity_n20,4.481087,15.629044
YP_009137110.1,UL35,Late,Combined,sensitivity_n5,2.187024,11.310955
YP_009137110.1,UL35,Late,Combined,sensitivity_n20,4.763365,16.217991
YP_009137111.1,UL36,Late,Combined,sensitivity_n5,3.904143,9.068967
YP_009137111.1,UL36,Late,Combined,sensitivity_n20,3.124606,17.260141
YP_009137112.1,UL37,Late,Combined,sensitivity_n5,4.364715,9.665098
YP_009137112.1,UL37,Late,Combined,sensitivity_n20,2.785775,16.804131
YP_009137113.1,UL38,Late,Combined,sensitivity_n5,2.588522,11.202047
YP_009137113.1,UL38,Late,Combined,sensitivity_n20,4.082764,16.177416
YP_009137114.1,UL39,Early,Combined,sensitivity_n5,3.967045,14.343103
YP_009137114.1,UL39,Early,Combined,sensitivity_n20,0.573764,15.345345
YP_009137115.1,UL40,Early,Combined,sensitivity_n5,3.970153,14.448627
YP_009137115.1,UL40,Early,Combined,sensitivity_n20,0.648795,15.242972
YP_009137116.1,UL41,Late,Combined,sensitivity_n5,3.722175,13.496264
YP_009137116.1,UL41,Late,Combined,sensitivity_n20,0.828515,14.803565
YP_009137117.1,UL42,Early,Combined,sensitivity_n5,3.255827,13.799467
YP_009137117.1,UL42,Early,Combined,sensitivity_n20,0.549368,14.427839
YP_009137118.1,UL43,Late,Combined,sensitivity_n5,6.190273,12.422276
YP_009137118.1,UL43,Late,Combined,sensitivity_n20,3.818896,15.18366
YP_009137119.1,UL44,Late,Combined,sensitivity_n5,7.342331,0.826766
YP_009137119.1,UL44,Late,Combined,sensitivity_n20,0.264328,13.826381
YP_009137120.1,UL45,Late,Combined,sensitivity_n5,2.886796,11.275
YP_009137120.1,UL45,Late,Combined,sensitivity_n20,4.67268,15.70601
YP_009137121.1,UL46,Late,Combined,sensitivity_n5,4.915385,9.373452
YP_009137121.1,UL46,Late,Combined,sensitivity_n20,1.851571,17.395744
YP_009137122.1,UL47,Late,Combined,sensitivity_n5,3.926503,9.625146
YP_009137122.1,UL47,Late,Combined,sensitivity_n20,2.75163,16.948914
YP_009137123.1,UL48,Late,Combined,sensitivity_n5,5.243631,9.929016
YP_009137123.1,UL48,Late,Combined,sensitivity_n20,1.786946,16.876249
YP_009137124.1,UL49,Late,Combined,sensitivity_n5,4.568336,8.940515
YP_009137124.1,UL49,Late,Combined,sensitivity_n20,3.262507,17.635744
YP_009137125.1,UL49A,Late,Combined,sensitivity_n5,4.294289,10.625636
YP_009137125.1,UL49A,Late,Combined,sensitivity_n20,2.327866,17.199203
YP_009137126.1,UL50,Early,Combined,sensitivity_n5,4.049873,12.0051
YP_009137126.1,UL50,Early,Combined,sensitivity_n20,1.906222,15.207189
YP_009137127.1,UL51,Late,Combined,sensitivity_n5,3.199091,9.880312
YP_009137127.1,UL51,Late,Combined,sensitivity_n20,3.992172,15.855537
YP_009137128.1,UL52,Early,Combined,sensitivity_n5,5.405319,10.365721
YP_009137128.1,UL52,Early,Combined,sensitivity_n20,1.736557,16.484577
YP_009137129.1,UL53,Late,Combined,sensitivity_n5,5.76634,11.978473
YP_009137129.1,UL53,Late,Combined,sensitivity_n20,3.206721,15.077539
YP_009137130.1,UL54,Immediate-Early,Combined,sensitivity_n5,4.136122,8.771086
YP_009137130.1,UL54,Immediate-Early,Combined,sensitivity_n20,3.43522,17.234522
YP_009137131.1,UL55,Late,Combined,sensitivity_n5,5.847577,9.478592
YP_009137131.1,UL55,Late,Combined,sensitivity_n20,3.579158,16.430876
YP_009137132.1,UL56,Late,Combined,sensitivity_n5,4.40648,8.334249
YP_009137132.1,UL56,Late,Combined,sensitivity_n20,3.069057,18.317019
YP_009137135.1,RS1,Immediate-Early,Combined,sensitivity_n5,3.615859,9.342593
YP_009137135.1,RS1,Immediate-Early,Combined,sensitivity_n20,2.335305,17.377378
YP_009137136.1,US1,Immediate-Early,Combined,sensitivity_n5,4.694153,8.935863
YP_009137136.1,US1,Immediate-Early,Combined,sensitivity_n20,3.547303,17.547436
YP_009137137.1,US2,Late,Combined,sensitivity_n5,1.944792,11.097116
YP_009137137.1,US2,Late,Combined,sensitivity_n20,4.554852,16.488451
YP_009137138.1,US3,Early,Combined,sensitivity_n5,3.840149,12.888833
YP_009137138.1,US3,Early,Combined,sensitivity_n20,1.147649,15.795594
YP_009137139.1,US4,Late,Combined,sensitivity_n5,7.371242,0.798955
YP_009137139.1,US4,Late,Combined,sensitivity_n20,-0.066818,14.025308
YP_009137140.1,US5,Late,Combined,sensitivity_n5,6.10557,12.496727
YP_009137140.1,US5,Late,Combined,sensitivity_n20,4.051944,14.993355
YP_009137141.1,US6,Late,Combined,sensitivity_n5,7.694004,0.489427
YP_009137141.1,US6,Late,Combined,sensitivity_n20,0.245167,14.032109
YP_009137142.1,US7,Late,Combined,sensitivity_n5,7.707174,0.473845
YP_009137142.1,US7,Late,Combined,sensitivity_n20,0.18497,14.070817
YP_009137143.1,US8,Late,Combined,sensitivity_n5,7.633344,0.543117
YP_009137143.1,US8,Late,Combined,sensitivity_n20,0.494787,14.027243
YP_009137144.1,US8A,Late,Combined,sensitivity_n5,1.804656,10.904503
YP_009137144.1,US8A,Late,Combined,sensitivity_n20,4.557079,16.939213
YP_009137145.1,US9,Late,Combined,sensitivity_n5,2.979427,10.615058
YP_009137145.1,US9,Late,Combined,sensitivity_n20,4.224887,15.628418
YP_009137146.1,US10,Late,Combined,sensitivity_n5,3.848024,8.453143
YP_009137146.1,US10,Late,Combined,sensitivity_n20,3.664679,17.998255
YP_009137147.1,US11,Late,Combined,sensitivity_n5,3.787849,8.647585
YP_009137147.1,US11,Late,Combined,sensitivity_n20,3.87979,17.923128
YP_009137148.1,US12,Immediate-Early,Combined,sensitivity_n5,2.559418,10.474842
YP_009137148.1,US12,Immediate-Early,Combined,sensitivity_n20,5.128747,16.403442
