protein_id,gene,temporal_class,representation,configuration,TSNE1,TSNE2
YP_009137087.1,UL13,Early,ProtBERT,sensitivity_perp25,0.77337,-1.052619
YP_009137088.1,UL14,Late,ProtBERT,sensitivity_perp5,18.18977,-9.3254
YP_009137088.1,UL14,Late,ProtBERT,sensitivity_perp25,-4.430207,-2.954435
YP_009137089.1,UL15,Late,ProtBERT,sensitivity_perp5,-42.293854,-6.772859
YP_009137089.1,UL15,Late,ProtBERT,sensitivity_perp25,4.003964,-2.697436
YP_009137090.1,UL16,Late,ProtBERT,sensitivity_perp5,20.934704,19.266109
YP_009137090.1,UL16,Late,ProtBERT,sensitivity_perp25,-7.590313,0.667927
YP_009137091.1,UL17,Late,ProtBERT,sensitivity_perp5,9.055204,-6.813826
YP_009137091.1,UL17,Late,ProtBERT,sensitivity_perp25,-3.22416,-1.892691
YP_009137092.1,UL18,Late,ProtBERT,sensitivity_perp5,-7.000209,16.862968
YP_009137092.1,UL18,Late,ProtBERT,sensitivity_perp25,-4.784739,-0.263073
YP_009137093.1,UL19,Late,ProtBERT,sensitivity_perp5,-7.241261,14.156
YP_009137093.1,UL19,Late,ProtBERT,sensitivity_perp25,-4.524174,0.525423
YP_009137094.1,UL20,Late,ProtBERT,sensitivity_perp5,1.181332,28.211069
YP_009137094.1,UL20,Late,ProtBERT,sensitivity_perp25,-2.49931,1.840033
YP_009137095.1,UL21,Late,ProtBERT,sensitivity_perp5,-1.86896,5.1573
YP_009137095.1,UL21,Late,ProtBERT,sensitivity_perp25,-3.794955,-0.704417
YP_009137096.1,UL22,Late,ProtBERT,sensitivity_perp5,-0.938893,2.075584
YP_009137096.1,UL22,Late,ProtBERT,sensitivity_perp25,-3.089609,-0.580325
YP_009137097.1,UL23,Early,ProtBERT,sensitivity_perp5,-59.644657,-5.841036
YP_009137097.1,UL23,Early,ProtBERT,sensitivity_perp25,5.675962,-3.915711
YP_009137098.1,UL24,Late,ProtBERT,sensitivity_perp5,-32.669769,-6.818719
YP_009137098.1,UL24,Late,ProtBERT,sensitivity_perp25,2.760203,-2.687854
YP_009137099.1,UL25,Late,ProtBERT,sensitivity_perp5,0.615964,7.467536
YP_009137099.1,UL25,Late,ProtBERT,sensitivity_perp25,-3.743272,-0.131216
YP_009137100.1,UL26,Late,ProtBERT,sensitivity_perp5,13.915893,-18.516773
YP_009137100.1,UL26,Late,ProtBERT,sensitivity_perp25,-1.81017,-3.772778
YP_009137101.1,UL26.5,Late,ProtBERT,sensitivity_perp5,11.440282,-18.79985
YP_009137101.1,UL26.5,Late,ProtBERT,sensitivity_perp25,-1.498352,-4.219879
YP_009137102.1,UL27,Late,ProtBERT,sensitivity_perp5,-11.312241,10.284734
YP_009137102.1,UL27,Late,ProtBERT,sensitivity_perp25,-4.240362,1.620401
YP_009137103.1,UL28,Late,ProtBERT,sensitivity_perp5,-0.595502,10.5822
YP_009137103.1,UL28,Late,ProtBERT,sensitivity_perp25,-2.966859,-1.176083
YP_009137104.1,UL29,Early,ProtBERT,sensitivity_perp5,-8.364863,9.473672
YP_009137104.1,UL29,Early,ProtBERT,sensitivity_perp25,-4.099517,0.754558
YP_009137105.1,UL30,Early,ProtBERT,sensitivity_perp5,-44.708412,-6.504513
YP_009137105.1,UL30,Early,ProtBERT,sensitivity_perp25,4.021929,-3.008723
YP_009137106.1,UL31,Late,ProtBERT,sensitivity_perp5,11.341012,9.695266
YP_009137106.1,UL31,Late,ProtBERT,sensitivity_perp25,-4.770575,-0.199271
YP_009137107.1,UL32,Late,ProtBERT,sensitivity_perp5,2.982722,11.631862
YP_009137107.1,UL32,Late,ProtBERT,sensitivity_perp25,-2.745478,-0.328843
YP_009137108.1,UL33,Late,ProtBERT,sensitivity_perp5,22.44997,7.955134
YP_009137108.1,UL33,Late,ProtBERT,sensitivity_perp25,-5.303679,-2.537489
YP_009137109.1,UL34,Late,ProtBERT,sensitivity_perp5,13.567502,-2.325306
YP_009137109.1,UL34,Late,ProtBERT,sensitivity_perp25,-5.028954,-1.634858
YP_009137110.1,UL35,Late,ProtBERT,sensitivity_perp5,24.940098,3.319621
YP_009137110.1,UL35,Late,ProtBERT,sensitivity_perp25,-6.138443,-1.805247
YP_009137111.1,UL36,Late,ProtBERT,sensitivity_perp5,15.198051,-15.55247
YP_009137111.1,UL36,Late,ProtBERT,sensitivity_perp25,-2.178535,-2.910234
YP_009137112.1,UL37,Late,ProtBERT,sensitivity_perp5,-2.923093,0.538889
YP_009137112.1,UL37,Late,ProtBERT,sensitivity_perp25,-3.455419,-0.98965
YP_009137113.1,UL38,Late,ProtBERT,sensitivity_perp5,11.214931,-5.001286
YP_009137113.1,UL38,Late,ProtBERT,sensitivity_perp25,-4.355427,-2.059797
YP_009137114.1,UL39,Early,ProtBERT,sensitivity_perp5,-39.648266,-7.338393
YP_009137114.1,UL39,Early,ProtBERT,sensitivity_perp25,3.862993,-2.429389
YP_009137115.1,UL40,Early,ProtBERT,sensitivity_perp5,-41.204483,-10.727133
YP_009137115.1,UL40,Early,ProtBERT,sensitivity_perp25,4.713606,-2.307873
YP_009137116.1,UL41,Late,ProtBERT,sensitivity_perp5,-30.141397,-3.163157
YP_009137116.1,UL41,Late,ProtBERT,sensitivity_perp25,2.076735,-2.001842
YP_009137117.1,UL42,Early,ProtBERT,sensitivity_perp5,-48.624004,-8.51212
YP_009137117.1,UL42,Early,ProtBERT,sensitivity_perp25,4.019839,-3.499064
YP_009137118.1,UL43,Late,ProtBERT,sensitivity_perp5,40.860542,-5.205999
YP_009137118.1,UL43,Late,ProtBERT,sensitivity_perp25,-0.423648,1.273308
YP_009137119.1,UL44,Late,ProtBERT,sensitivity_perp5,-55.761745,-4.298554
YP_009137119.1,UL44,Late,ProtBERT,sensitivity_perp25,5.029403,-3.785139
YP_009137120.1,UL45,Late,ProtBERT,sensitivity_perp5,17.604889,0.953667
YP_009137120.1,UL45,Late,ProtBERT,sensitivity_perp25,-5.051867,-1.76659
YP_009137121.1,UL46,Late,ProtBERT,sensitivity_perp5,4.487764,4.834832
YP_009137121.1,UL46,Late,ProtBERT,sensitivity_perp25,-3.352466,-0.316066
YP_009137122.1,UL47,Late,ProtBERT,sensitivity_perp5,7.104487,-8.052423
YP_009137122.1,UL47,Late,ProtBERT,sensitivity_perp25,-2.678305,-1.905829
YP_009137123.1,UL48,Late,ProtBERT,sensitivity_perp5,6.507382,6.972004
YP_009137123.1,UL48,Late,ProtBERT,sensitivity_perp25,-3.156451,0.328651
YP_009137124.1,UL49,Late,ProtBERT,sensitivity_perp5,15.094083,-26.70186
YP_009137124.1,UL49,Late,ProtBERT,sensitivity_perp25,-2.686304,-4.254906
YP_009137125.1,UL49A,Late,ProtBERT,sensitivity_perp5,3.461196,16.467915
YP_009137125.1,UL49A,Late,ProtBERT,sensitivity_perp25,-1.043599,-1.167479
YP_009137126.1,UL50,Early,ProtBERT,sensitivity_perp5,-29.868921,1.566848
YP_009137126.1,UL50,Early,ProtBERT,sensitivity_perp25,1.411042,-2.08847
YP_009137127.1,UL51,Late,ProtBERT,sensitivity_perp5,16.959373,-12.022164
YP_009137127.1,UL51,Late,ProtBERT,sensitivity_perp25,-3.773539,-2.705568
YP_009137128.1,UL52,Early,ProtBERT,sensitivity_perp5,2.731187,7.609743
YP_009137128.1,UL52,Early,ProtBERT,sensitivity_perp25,-3.688748,-0.135219
YP_009137129.1,UL53,Late,ProtBERT,sensitivity_perp5,-0.342051,28.995283
YP_009137129.1,UL53,Late,ProtBERT,sensitivity_perp25,-2.606735,1.98977
YP_009137130.1,UL54,Immediate-Early,ProtBERT,sensitivity_perp5,10.818128,-24.532957
YP_009137130.1,UL54,Immediate-Early,ProtBERT,sensitivity_perp25,-3.032344,-3.09444
YP_009137131.1,UL55,Late,ProtBERT,sensitivity_perp5,15.96947,18.566191
YP_009137131.1,UL55,Late,ProtBERT,sensitivity_perp25,-6.341812,0.910633
YP_009137132.1,UL56,Late,ProtBERT,sensitivity_perp5,15.484475,-20.747826
YP_009137132.1,UL56,Late,ProtBERT,sensitivity_perp25,-1.956178,-3.826424
YP_009137135.1,RS1,Immediate-Early,ProtBERT,sensitivity_perp5,4.904056,-12.044321
YP_009137135.1,RS1,Immediate-Early,ProtBERT,sensitivity_perp25,-1.205122,-2.527042
YP_009137136.1,US1,Immediate-Early,ProtBERT,sensitivity_perp5,12.566528,-26.976393
YP_009137136.1,US1,Immediate-Early,ProtBERT,sensitivity_perp25,-3.060609,-4.009413
YP_009137137.1,US2,Late,ProtBERT,sensitivity_perp5,22.571373,2.055059
YP_009137137.1,US2,Late,ProtBERT,sensitivity_perp25,-5.987609,-1.313103
YP_009137138.1,US3,Early,ProtBERT,sensitivity_perp5,-27.763321,-1.39719
YP_009137138.1,US3,Early,ProtBERT,sensitivity_perp25,1.339115,-1.517172
YP_009137139.1,US4,Late,ProtBERT,sensitivity_perp5,-56.949306,-9.28082
YP_009137139.1,US4,Late,ProtBERT,sensitivity_perp25,4.963902,-4.367599
YP_009137140.1,US5,Late,ProtBERT,sensitivity_perp5,39.953705,-6.958917
YP_009137140.1,US5,Late,ProtBERT,sensitivity_perp25,-0.439688,1.263527
YP_009137141.1,US6,Late,ProtBERT,sensitivity_perp5,-29.687471,-7.598902
YP_009137141.1,US6,Late,ProtBERT,sensitivity_perp25,3.079732,-3.267249
YP_009137142.1,US7,Late,ProtBERT,sensitivity_perp5,-55.648064,-7.297709
YP_009137142.1,US7,Late,ProtBERT,sensitivity_perp25,4.744445,-4.078445
YP_009137143.1,US8,Late,ProtBERT,sensitivity_perp5,-53.664894,-5.436659
YP_009137143.1,US8,Late,ProtBERT,sensitivity_perp25,4.683812,-3.676674
YP_009137144.1,US8A,Late,ProtBERT,sensitivity_perp5,23.754395,-1.109637
YP_009137144.1,US8A,Late,ProtBERT,sensitivity_perp25,-6.766556,-1.422563
YP_009137145.1,US9,Late,ProtBERT,sensitivity_perp5,34.660744,-4.751091
YP_009137145.1,US9,Late,ProtBERT,sensitivity_perp25,-1.229093,0.424559
YP_009137146.1,US10,Late,ProtBERT,sensitivity_perp5,24.304132,-16.444258
YP_009137146.1,US10,Late,ProtBERT,sensitivity_perp25,-7.765121,-0.979819
YP_009137147.1,US11,Late,ProtBERT,sensitivity_perp5,22.058498,-19.133324
YP_009137147.1,US11,Late,ProtBERT,sensitivity_perp25,-0.928891,-5.050823
YP_009137148.1,US12,Immediate-Early,ProtBERT,sensitivity_perp5,24.686623,8.57648
YP_009137148.1,US12,Immediate-Early,ProtBERT,sensitivity_perp25,-5.731524,-2.681672
YP_009137073.1,RL1,Late,Combined,primary_perp15,2.727249,8.641742
YP_009137074.1,RL2,Immediate-Early,Combined,primary_perp15,2.254824,8.7803
YP_009137075.1,UL1,Late,Combined,primary_perp15,2.638236,-2.702135
YP_009137076.1,UL2,Early,Combined,primary_perp15,-3.139062,2.804839
YP_009137077.1,UL3,Late,Combined,primary_perp15,8.297847,0.244733
YP_009137078.1,UL4,Late,Combined,primary_perp15,2.800393,-1.884182
YP_009137079.1,UL5,Early,Combined,primary_perp15,-1.007509,1.357805
YP_009137080.1,UL6,Late,Combined,primary_perp15,3.180938,3.268349
YP_009137081.1,UL7,Late,Combined,primary_perp15,7.148787,2.019559
YP_009137082.1,UL8,Early,Combined,primary_perp15,5.914385,6.259372
YP_009137083.1,UL9,Early,Combined,primary_perp15,-5.957587,2.143857
YP_009137084.1,UL10,Late,Combined,primary_perp15,2.490871,-7.042284
YP_009137085.1,UL11,Late,Combined,primary_perp15,1.67778,5.346953
YP_009137086.1,UL12,Early,Combined,primary_perp15,-7.839989,0.258172
YP_009137087.1,UL13,Early,Combined,primary_perp15,-3.163087,1.415128
YP_009137088.1,UL14,Late,Combined,primary_perp15,1.681957,-0.150628
YP_009137089.1,UL15,Late,Combined,primary_perp15,-6.299156,2.257176
YP_009137090.1,UL16,Late,Combined,primary_perp15,9.248786,-0.535823
YP_009137091.1,UL17,Late,Combined,primary_perp15,3.137409,1.530686
YP_009137092.1,UL18,Late,Combined,primary_perp15,8.905227,3.805707
YP_009137093.1,UL19,Late,Combined,primary_perp15,7.983052,4.288294
YP_009137094.1,UL20,Late,Combined,primary_perp15,3.894245,-6.950091
YP_009137095.1,UL21,Late,Combined,primary_perp15,4.300604,3.021993
YP_009137096.1,UL22,Late,Combined,primary_perp15,4.938077,2.611446
YP_009137097.1,UL23,Early,Combined,primary_perp15,-9.041759,0.574014
YP_009137098.1,UL24,Late,Combined,primary_perp15,-5.485874,0.750426
YP_009137099.1,UL25,Late,Combined,primary_perp15,5.42733,3.562004
YP_009137100.1,UL26,Late,Combined,primary_perp15,-0.381439,7.873521
YP_009137101.1,UL26.5,Late,Combined,primary_perp15,-0.529741,8.193994
YP_009137102.1,UL27,Late,Combined,primary_perp15,6.584217,4.691874
YP_009137103.1,UL28,Late,Combined,primary_perp15,4.051402,3.807923
YP_009137104.1,UL29,Early,Combined,primary_perp15,6.479238,3.876352
YP_009137105.1,UL30,Early,Combined,primary_perp15,-7.084806,1.852206
YP_009137106.1,UL31,Late,Combined,primary_perp15,4.138059,0.73818
YP_009137107.1,UL32,Late,Combined,primary_perp15,4.581967,4.749949
YP_009137108.1,UL33,Late,Combined,primary_perp15,2.288903,-1.020814
YP_009137109.1,UL34,Late,Combined,primary_perp15,1.116187,-2.128859
YP_009137110.1,UL35,Late,Combined,primary_perp15,4.566133,-1.655814
YP_009137111.1,UL36,Late,Combined,primary_perp15,1.876286,2.374648
YP_009137112.1,UL37,Late,Combined,primary_perp15,4.08367,2.172224
YP_009137113.1,UL38,Late,Combined,primary_perp15,3.39284,-0.730108
YP_009137114.1,UL39,Early,Combined,primary_perp15,-5.838569,3.576313
YP_009137115.1,UL40,Early,Combined,primary_perp15,-6.034503,4.423282
YP_009137116.1,UL41,Late,Combined,primary_perp15,-4.782295,1.458436
YP_009137117.1,UL42,Early,Combined,primary_perp15,-7.437029,0.114404
YP_009137118.1,UL43,Late,Combined,primary_perp15,1.465876,-7.234151
YP_009137119.1,UL44,Late,Combined,primary_perp15,-8.703074,-3.126352
YP_009137120.1,UL45,Late,Combined,primary_perp15,1.574288,-3.246188
YP_009137121.1,UL46,Late,Combined,primary_perp15,5.630686,1.931481
YP_009137122.1,UL47,Late,Combined,primary_perp15,3.04583,2.183458
YP_009137123.1,UL48,Late,Combined,primary_perp15,6.00434,1.204011
YP_009137124.1,UL49,Late,Combined,primary_perp15,-0.303525,4.924203
YP_009137125.1,UL49A,Late,Combined,primary_perp15,4.048074,5.666229
YP_009137126.1,UL50,Early,Combined,primary_perp15,-1.390772,0.386963
YP_009137127.1,UL51,Late,Combined,primary_perp15,1.467505,0.889758
YP_009137128.1,UL52,Early,Combined,primary_perp15,5.596344,3.109534
YP_009137129.1,UL53,Late,Combined,primary_perp15,3.833717,-7.008652
YP_009137130.1,UL54,Immediate-Early,Combined,primary_perp15,1.1826,3.73831
YP_009137131.1,UL55,Late,Combined,primary_perp15,8.171481,0.60944
YP_009137132.1,UL56,Late,Combined,primary_perp15,-0.211102,6.840328
YP_009137135.1,RS1,Immediate-Early,Combined,primary_perp15,3.615407,7.455222
YP_009137136.1,US1,Immediate-Early,Combined,primary_perp15,-0.111639,4.68865
YP_009137137.1,US2,Late,Combined,primary_perp15,3.828129,-1.733829
YP_009137138.1,US3,Early,Combined,primary_perp15,-3.504691,1.472905
YP_009137139.1,US4,Late,Combined,primary_perp15,-9.836403,-2.208692
YP_009137140.1,US5,Late,Combined,primary_perp15,1.281123,-7.175133
YP_009137141.1,US6,Late,Combined,primary_perp15,-8.282104,-1.89852
YP_009137142.1,US7,Late,Combined,primary_perp15,-8.826357,-2.042011
YP_009137143.1,US8,Late,Combined,primary_perp15,-8.403084,-2.718251
YP_009137144.1,US8A,Late,Combined,primary_perp15,5.698637,-2.573298
YP_009137145.1,US9,Late,Combined,primary_perp15,2.032786,-4.642324
YP_009137146.1,US10,Late,Combined,primary_perp15,7.820106,-2.578455
YP_009137147.1,US11,Late,Combined,primary_perp15,7.978922,-3.537583
YP_009137148.1,US12,Immediate-Early,Combined,primary_perp15,3.930766,-3.096998
YP_009137073.1,RL1,Late,Combined,sensitivity_perp5,9.721025,15.474819
YP_009137073.1,RL1,Late,Combined,sensitivity_perp25,5.350015,5.510798
YP_009137074.1,RL2,Immediate-Early,Combined,sensitivity_perp5,11.614578,15.25327
YP_009137074.1,RL2,Immediate-Early,Combined,sensitivity_perp25,5.361327,5.730196
YP_009137075.1,UL1,Late,Combined,sensitivity_perp5,-6.493361,23.246359
YP_009137075.1,UL1,Late,Combined,sensitivity_perp25,-0.387254,4.28933
YP_009137076.1,UL2,Early,Combined,sensitivity_perp5,-11.282649,-16.361307
YP_009137076.1,UL2,Early,Combined,sensitivity_perp25,-0.573099,0.35741
YP_009137077.1,UL3,Late,Combined,sensitivity_perp5,16.824215,-6.414166
YP_009137077.1,UL3,Late,Combined,sensitivity_perp25,0.295418,7.161181
YP_009137078.1,UL4,Late,Combined,sensitivity_perp5,-4.770511,27.347881
YP_009137078.1,UL4,Late,Combined,sensitivity_perp25,-0.584309,4.472096
YP_009137079.1,UL5,Early,Combined,sensitivity_perp5,-7.89604,-2.068451
YP_009137079.1,UL5,Early,Combined,sensitivity_perp25,1.159163,1.714682
YP_009137080.1,UL6,Late,Combined,sensitivity_perp5,-3.035104,1.806997
YP_009137080.1,UL6,Late,Combined,sensitivity_perp25,1.462094,3.458159
YP_009137081.1,UL7,Late,Combined,sensitivity_perp5,8.697339,-4.698227
YP_009137081.1,UL7,Late,Combined,sensitivity_perp25,1.346342,2.6993
YP_009137082.1,UL8,Early,Combined,sensitivity_perp5,-8.064859,8.788331
YP_009137082.1,UL8,Early,Combined,sensitivity_perp25,4.002586,3.37732
YP_009137083.1,UL9,Early,Combined,sensitivity_perp5,-12.143837,-27.113403
YP_009137083.1,UL9,Early,Combined,sensitivity_perp25,0.147345,-1.439827
YP_009137084.1,UL10,Late,Combined,sensitivity_perp5,-23.627571,20.991707
YP_009137084.1,UL10,Late,Combined,sensitivity_perp25,2.537396,0.452764
YP_009137085.1,UL11,Late,Combined,sensitivity_perp5,18.409302,-4.051235
YP_009137085.1,UL11,Late,Combined,sensitivity_perp25,0.587449,7.397701
YP_009137086.1,UL12,Early,Combined,sensitivity_perp5,-5.664265,-33.496685
YP_009137086.1,UL12,Early,Combined,sensitivity_perp25,-1.391015,-2.281679
YP_009137087.1,UL13,Early,Combined,sensitivity_perp5,-9.976864,-19.05031
YP_009137087.1,UL13,Early,Combined,sensitivity_perp25,0.564803,0.450064
YP_009137088.1,UL14,Late,Combined,sensitivity_perp5,-8.780789,32.335117
YP_009137088.1,UL14,Late,Combined,sensitivity_perp25,0.628309,5.572995
YP_009137089.1,UL15,Late,Combined,sensitivity_perp5,-12.208428,-28.940069
YP_009137089.1,UL15,Late,Combined,sensitivity_perp25,0.146283,-1.643551
YP_009137090.1,UL16,Late,Combined,sensitivity_perp5,18.797178,-8.726502
YP_009137090.1,UL16,Late,Combined,sensitivity_perp25,-0.560753,7.673634
YP_009137091.1,UL17,Late,Combined,sensitivity_perp5,0.902803,16.110029
YP_009137091.1,UL17,Late,Combined,sensitivity_perp25,1.426451,4.21863
YP_009137092.1,UL18,Late,Combined,sensitivity_perp5,2.310854,7.75626
YP_009137092.1,UL18,Late,Combined,sensitivity_perp25,3.711663,2.288032
YP_009137093.1,UL19,Late,Combined,sensitivity_perp5,4.036892,4.730889
YP_009137093.1,UL19,Late,Combined,sensitivity_perp25,3.25275,2.097183
YP_009137094.1,UL20,Late,Combined,sensitivity_perp5,-23.051092,16.734056
YP_009137094.1,UL20,Late,Combined,sensitivity_perp25,3.047707,0.572756
YP_009137095.1,UL21,Late,Combined,sensitivity_perp5,-0.266001,6.379357
YP_009137095.1,UL21,Late,Combined,sensitivity_perp25,2.172475,3.217207
YP_009137096.1,UL22,Late,Combined,sensitivity_perp5,-4.909175,8.828341
YP_009137096.1,UL22,Late,Combined,sensitivity_perp25,3.08252,3.270634
YP_009137097.1,UL23,Early,Combined,sensitivity_perp5,-6.406282,-36.35606
YP_009137097.1,UL23,Early,Combined,sensitivity_perp25,-1.643783,-3.043462
YP_009137098.1,UL24,Late,Combined,sensitivity_perp5,-7.844739,-25.539324
YP_009137098.1,UL24,Late,Combined,sensitivity_perp25,-0.616345,-0.914828
YP_009137099.1,UL25,Late,Combined,sensitivity_perp5,1.157405,1.339206
YP_009137099.1,UL25,Late,Combined,sensitivity_perp25,2.418775,3.058055
YP_009137100.1,UL26,Late,Combined,sensitivity_perp5,22.016886,14.250056
YP_009137100.1,UL26,Late,Combined,sensitivity_perp25,4.072271,6.861572
YP_009137101.1,UL26.5,Late,Combined,sensitivity_perp5,23.239265,15.312257
YP_009137101.1,UL26.5,Late,Combined,sensitivity_perp25,4.294386,7.142207
YP_009137102.1,UL27,Late,Combined,sensitivity_perp5,-2.261601,-4.023776
YP_009137102.1,UL27,Late,Combined,sensitivity_perp25,2.167838,1.988977
YP_009137103.1,UL28,Late,Combined,sensitivity_perp5,-1.028408,2.474279
YP_009137103.1,UL28,Late,Combined,sensitivity_perp25,2.404002,3.769358
YP_009137104.1,UL29,Early,Combined,sensitivity_perp5,-0.717378,-1.561848
YP_009137104.1,UL29,Early,Combined,sensitivity_perp25,2.255641,2.426255
YP_009137105.1,UL30,Early,Combined,sensitivity_perp5,-10.259456,-30.737051
YP_009137105.1,UL30,Early,Combined,sensitivity_perp25,-0.234078,-1.982361
YP_009137106.1,UL31,Late,Combined,sensitivity_perp5,-5.977918,2.543162
YP_009137106.1,UL31,Late,Combined,sensitivity_perp25,1.017593,3.411619
YP_009137107.1,UL32,Late,Combined,sensitivity_perp5,3.433545,-3.981471
YP_009137107.1,UL32,Late,Combined,sensitivity_perp25,3.084189,3.804527
YP_009137108.1,UL33,Late,Combined,sensitivity_perp5,-6.320943,31.406321
YP_009137108.1,UL33,Late,Combined,sensitivity_perp25,-0.080179,5.267597
YP_009137109.1,UL34,Late,Combined,sensitivity_perp5,-1.819823,21.145384
YP_009137109.1,UL34,Late,Combined,sensitivity_perp25,-0.684827,3.734565
YP_009137110.1,UL35,Late,Combined,sensitivity_perp5,-0.848881,29.173183
YP_009137110.1,UL35,Late,Combined,sensitivity_perp25,-1.153371,5.280401
YP_009137111.1,UL36,Late,Combined,sensitivity_perp5,-2.852792,13.63728
YP_009137111.1,UL36,Late,Combined,sensitivity_perp25,1.981958,5.007182
YP_009137112.1,UL37,Late,Combined,sensitivity_perp5,-3.56928,11.022288
YP_009137112.1,UL37,Late,Combined,sensitivity_perp25,2.270797,4.09912
YP_009137113.1,UL38,Late,Combined,sensitivity_perp5,-1.233614,23.85253
YP_009137113.1,UL38,Late,Combined,sensitivity_perp25,0.194455,4.529159
YP_009137114.1,UL39,Early,Combined,sensitivity_perp5,-15.553582,-26.935986
YP_009137114.1,UL39,Early,Combined,sensitivity_perp25,1.055683,-1.701917
YP_009137115.1,UL40,Early,Combined,sensitivity_perp5,-18.105614,-27.187559
YP_009137115.1,UL40,Early,Combined,sensitivity_perp25,1.484847,-2.082603
YP_009137116.1,UL41,Late,Combined,sensitivity_perp5,-9.990139,-23.756258
YP_009137116.1,UL41,Late,Combined,sensitivity_perp25,0.036893,-0.59827
YP_009137117.1,UL42,Early,Combined,sensitivity_perp5,-4.621564,-31.998081
YP_009137117.1,UL42,Early,Combined,sensitivity_perp25,-1.304921,-2.128654
YP_009137118.1,UL43,Late,Combined,sensitivity_perp5,-24.372496,23.846037
YP_009137118.1,UL43,Late,Combined,sensitivity_perp25,-2.726194,2.942165
YP_009137119.1,UL44,Late,Combined,sensitivity_perp5,2.382112,-43.900349
YP_009137119.1,UL44,Late,Combined,sensitivity_perp25,-3.373881,-1.651501
YP_009137120.1,UL45,Late,Combined,sensitivity_perp5,-8.162693,26.040785
YP_009137120.1,UL45,Late,Combined,sensitivity_perp25,-1.449855,3.996233
YP_009137121.1,UL46,Late,Combined,sensitivity_perp5,5.438492,-0.227096
YP_009137121.1,UL46,Late,Combined,sensitivity_perp25,2.772817,4.609192
YP_009137122.1,UL47,Late,Combined,sensitivity_perp5,1.994071,14.777249
YP_009137122.1,UL47,Late,Combined,sensitivity_perp25,1.877279,4.213337
YP_009137123.1,UL48,Late,Combined,sensitivity_perp5,8.022876,1.361982
YP_009137123.1,UL48,Late,Combined,sensitivity_perp25,3.349454,4.713511
YP_009137124.1,UL49,Late,Combined,sensitivity_perp5,17.605072,6.582727
YP_009137124.1,UL49,Late,Combined,sensitivity_perp25,2.740914,6.60071
YP_009137125.1,UL49A,Late,Combined,sensitivity_perp5,3.190953,-6.87148
YP_009137125.1,UL49A,Late,Combined,sensitivity_perp25,-0.939299,2.246411
YP_009137126.1,UL50,Early,Combined,sensitivity_perp5,-10.297777,-3.271163
YP_009137126.1,UL50,Early,Combined,sensitivity_perp25,-0.02815,1.388411
YP_009137127.1,UL51,Late,Combined,sensitivity_perp5,-5.244861,15.893365
YP_009137127.1,UL51,Late,Combined,sensitivity_perp25,1.011136,5.16843
YP_009137128.1,UL52,Early,Combined,sensitivity_perp5,2.17231,-0.105458
YP_009137128.1,UL52,Early,Combined,sensitivity_perp25,2.294122,3.244853
YP_009137129.1,UL53,Late,Combined,sensitivity_perp5,-23.626516,18.123236
YP_009137129.1,UL53,Late,Combined,sensitivity_perp25,3.055186,0.535717
YP_009137130.1,UL54,Immediate-Early,Combined,sensitivity_perp5,12.934187,8.845248
YP_009137130.1,UL54,Immediate-Early,Combined,sensitivity_perp25,2.218809,5.87353
YP_009137131.1,UL55,Late,Combined,sensitivity_perp5,14.953697,-6.77837
YP_009137131.1,UL55,Late,Combined,sensitivity_perp25,0.195822,3.042697
YP_009137132.1,UL56,Late,Combined,sensitivity_perp5,20.981628,11.753965
YP_009137132.1,UL56,Late,Combined,sensitivity_perp25,3.73371,6.35799
YP_009137135.1,RS1,Immediate-Early,Combined,sensitivity_perp5,5.595199,14.984041
YP_009137135.1,RS1,Immediate-Early,Combined,sensitivity_perp25,4.555431,4.753523
YP_009137136.1,US1,Immediate-Early,Combined,sensitivity_perp5,15.979008,6.001232
YP_009137136.1,US1,Immediate-Early,Combined,sensitivity_perp25,2.514864,6.586023
YP_009137137.1,US2,Late,Combined,sensitivity_perp5,-2.076457,26.578081
YP_009137137.1,US2,Late,Combined,sensitivity_perp25,-0.46173,4.849345
YP_009137138.1,US3,Early,Combined,sensitivity_perp5,-10.027001,-20.777811
YP_009137138.1,US3,Early,Combined,sensitivity_perp25,0.501602,0.250075
YP_009137139.1,US4,Late,Combined,sensitivity_perp5,3.577514,-39.691521
YP_009137139.1,US4,Late,Combined,sensitivity_perp25,-3.532959,-2.362087
YP_009137140.1,US5,Late,Combined,sensitivity_perp5,-22.787029,24.824951
YP_009137140.1,US5,Late,Combined,sensitivity_perp25,-2.782283,3.007674
YP_009137141.1,US6,Late,Combined,sensitivity_perp5,-0.842992,-40.610008
YP_009137141.1,US6,Late,Combined,sensitivity_perp25,-2.758032,-1.709431
YP_009137142.1,US7,Late,Combined,sensitivity_perp5,1.073305,-40.794659
YP_009137142.1,US7,Late,Combined,sensitivity_perp25,-3.010309,-1.968037
YP_009137143.1,US8,Late,Combined,sensitivity_perp5,0.383296,-43.1931
YP_009137143.1,US8,Late,Combined,sensitivity_perp25,-3.143138,-1.66155
YP_009137144.1,US8A,Late,Combined,sensitivity_perp5,2.916188,26.354483
YP_009137144.1,US8A,Late,Combined,sensitivity_perp25,-0.160442,6.410152
YP_009137145.1,US9,Late,Combined,sensitivity_perp5,-9.292051,20.820292
YP_009137145.1,US9,Late,Combined,sensitivity_perp25,-2.33805,4.733683
YP_009137146.1,US10,Late,Combined,sensitivity_perp5,17.408602,20.711411
